INFO : 2021-08-27 10:51:20,655 : Generated dir raw_data/2019-20
INFO : 2021-08-27 13:16:26,050 : SUCCESS : Jalen Brunson = (316, 20) = 1628973.csv
INFO : 2021-08-27 13:16:58,312 : SUCCESS : Jalen Lecque = (34, 20) = 1629665.csv
INFO : 2021-08-27 13:17:31,650 : SUCCESS : Jalen McDaniels = (143, 20) = 1629667.csv
INFO : 2021-08-27 13:18:04,681 : SUCCESS : Jamal Crawford = (8, 20) = 2037.csv
INFO : 2021-08-27 13:18:44,058 : SUCCESS : Jamal Murray = (335, 20) = 1627750.csv
INFO : 2021-08-27 13:19:36,229 : SUCCESS : James Ennis III = (334, 20) = 203516.csv
INFO : 2021-08-27 13:20:08,709 : SUCCESS : James Harden = (366, 20) = 201935.csv
INFO : 2021-08-27 13:20:42,428 : SUCCESS : James Johnson = (203, 20) = 201949.csv
INFO : 2021-08-27 13:21:23,201 : SUCCESS : Jared Dudley = (246, 20) = 201162.csv
INFO : 2021-08-27 13:21:50,017 : SUCCESS : Jared Harper = (17, 20) = 1629607.csv
INFO : 2021-08-27 13:22:35,948 : SUCCESS : Jaren Jackson Jr. = (311, 20) = 1628991.csv
INFO : 2021-08-27 13:23:07,056 : SUCCESS : Jarred Vanderbilt = (58, 20) = 1629020.csv
INFO : 2021-08-27 13:23:35,443 : SUCCESS : Jarrell Brantley = (44, 20) = 1629714.csv
INFO : 2021-08-27 13:24:14,498 : SUCCESS : Jarrett Allen = (349, 20) = 1628386.csv
INFO : 2021-08-27 13:24:52,295 : SUCCESS : Jarrett Culver = (345, 20) = 1629633.csv
INFO : 2021-08-27 13:25:22,764 : SUCCESS : Jarrod Uthoff = (41, 20) = 1627784.csv
INFO : 2021-08-27 13:25:57,029 : SUCCESS : Javonte Green = (249, 20) = 1629750.csv
INFO : 2021-08-27 13:26:58,648 : SUCCESS : Jaxson Hayes = (341, 20) = 1629637.csv
INFO : 2021-08-27 13:27:20,414 : SUCCESS : Jaylen Brown = (334, 20) = 1627759.csv
INFO : 2021-08-27 13:27:57,424 : SUCCESS : Jaylen Hoard = (75, 20) = 1629658.csv
INFO : 2021-08-27 13:28:34,939 : SUCCESS : Jaylen Nowell = (103, 20) = 1629669.csv
INFO : 2021-08-27 13:29:13,547 : SUCCESS : Jayson Tatum = (344, 20) = 1628369.csv
INFO : 2021-08-27 13:29:42,879 : SUCCESS : Jeff Green = (281, 20) = 201145.csv
INFO : 2021-08-27 13:30:25,044 : SUCCESS : Jeff Teague = (336, 20) = 201952.csv
INFO : 2021-08-27 13:31:01,831 : SUCCESS : Jerami Grant = (365, 20) = 203924.csv
INFO : 2021-08-27 13:31:36,233 : SUCCESS : Jeremiah Martin = (59, 20) = 1629725.csv
INFO : 2021-08-27 13:32:14,572 : SUCCESS : Jeremy Lamb = (257, 20) = 203087.csv
INFO : 2021-08-27 13:32:42,617 : SUCCESS : Jeremy Pargo = (28, 20) = 202951.csv
INFO : 2021-08-27 13:33:30,742 : SUCCESS : Jerian Grant = (51, 20) = 1626170.csv
INFO : 2021-08-27 13:34:05,077 : SUCCESS : Jerome Robinson = (321, 20) = 1629010.csv
INFO : 2021-08-27 13:34:39,511 : SUCCESS : Jevon Carter = (338, 20) = 1628975.csv
INFO : 2021-08-27 13:35:16,824 : SUCCESS : Jimmy Butler = (326, 20) = 202710.csv
INFO : 2021-08-27 13:35:47,671 : SUCCESS : Joakim Noah = (32, 20) = 201149.csv
INFO : 2021-08-27 13:36:20,784 : SUCCESS : Joe Chealey = (30, 20) = 1629147.csv
INFO : 2021-08-27 13:36:54,581 : SUCCESS : Joe Harris = (340, 20) = 203925.csv
INFO : 2021-08-27 13:37:38,084 : SUCCESS : Joe Ingles = (352, 20) = 204060.csv
INFO : 2021-08-27 13:38:08,095 : SUCCESS : Joel Embiid = (294, 20) = 203954.csv
INFO : 2021-08-27 13:38:40,472 : SUCCESS : John Collins = (263, 20) = 1628381.csv
INFO : 2021-08-27 13:39:35,645 : SUCCESS : John Henson = (251, 20) = 203089.csv
INFO : 2021-08-27 13:40:13,366 : SUCCESS : John Konchar = (132, 20) = 1629723.csv
INFO : 2021-08-27 13:40:49,996 : SUCCESS : Johnathan Motley = (55, 20) = 1628405.csv
INFO : 2021-08-27 13:41:28,326 : SUCCESS : Johnathan Williams = (97, 20) = 1629140.csv
INFO : 2021-08-27 13:41:51,618 : SUCCESS : Jonah Bolden = (44, 20) = 1628413.csv
INFO : 2021-08-27 13:42:50,028 : SUCCESS : Jonas Valanciunas = (355, 20) = 202685.csv
