INFO : 2021-08-26 20:51:38,146 : Dir raw_data/2017-18 already exists
DEBUG : 2021-08-26 20:51:50,051 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/b0372fcb-f58e-4c6d-90c8-fd7389fb7f8e/text HTTP/1.1" 200 19
DEBUG : 2021-08-26 20:51:50,051 : Finished Request
DEBUG : 2021-08-26 20:51:50,051 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/41fc27be-f870-4f8c-86e5-add5faf0a478/text {"id": "41fc27be-f870-4f8c-86e5-add5faf0a478"}
DEBUG : 2021-08-26 20:51:50,068 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/41fc27be-f870-4f8c-86e5-add5faf0a478/text HTTP/1.1" 200 19
DEBUG : 2021-08-26 20:51:50,068 : Finished Request
DEBUG : 2021-08-26 20:51:50,069 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/36f9ef84-3f29-47c8-8b2d-597c1da8f21b/text {"id": "36f9ef84-3f29-47c8-8b2d-597c1da8f21b"}
DEBUG : 2021-08-26 20:51:50,082 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/36f9ef84-3f29-47c8-8b2d-597c1da8f21b/text HTTP/1.1" 200 19
DEBUG : 2021-08-26 20:51:50,082 : Finished Request
DEBUG : 2021-08-26 20:51:50,082 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/bb99e99e-5a5f-411b-b254-9bcfb13e51b8/text {"id": "bb99e99e-5a5f-411b-b254-9bcfb13e51b8"}
DEBUG : 2021-08-26 20:51:50,096 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/bb99e99e-5a5f-411b-b254-9bcfb13e51b8/text HTTP/1.1" 200 19
DEBUG : 2021-08-26 20:51:50,096 : Finished Request
DEBUG : 2021-08-26 20:51:50,096 : GET http://127.0.0.1:58283/session/fff98da934d9313a3667a68e88476c48/element/c9457799-1d38-4efa-a5c0-2d09beb60618/name {"id": "c9457799-1d38-4efa-a5c0-2d09beb60618"}
DEBUG : 2021-08-26 20:51:50,102 : http://127.0.0.1:58283 "GET /session/fff98da934d9313a3667a68e88476c48/element/c9457799-1d38-4efa-a5c0-2d09beb60618/name HTTP/1.1" 200 18
DEBUG : 2021-08-26 20:51:50,102 : Finished Request
