player,season,POSS,adj_usg_rank,freq_gte82,freq_lte78,freq_lte81,freq_lte75,poss_lte78,poss_lte81,poss_lte75,poss_gte82,poss,versatility_score_rank,height,weight
Dario Saric,2020-21,1135.7,0.3673469387755102,0.3716650523905961,0.17064365589504268,0.36435678436206737,0.09333450735229373,193.79999999999998,413.79999999999995,106.0,422.1,1135.7,0.6204081632653061,80.09985031258255,233.37580346922604
Darius Bazley,2020-21,2371.2,0.6653061224489796,0.1728238866396761,0.31625337381916324,0.38714574898785437,0.12377699055330638,749.8999999999999,918.0000000000002,293.50000000000006,409.79999999999995,2371.2,0.8244897959183674,78.7536690283401,222.42240215924429
Darius Garland,2020-21,2337.5,0.5653061224489796,0.05612834224598929,0.38712299465240646,0.16064171122994653,0.39610695187165773,904.9000000000001,375.5,925.9,131.19999999999996,2337.5,0.18979591836734694,76.34780748663101,203.3061818181818
Darius Miller,2020-21,280.7,0.15714285714285714,0.09405058781617386,0.34556465977912365,0.37727110794442464,0.1831136444602779,97.0,105.89999999999999,51.4,26.400000000000002,280.7,0.6775510204081633,77.90879942999645,214.90131813323836
David Nwaba,2020-21,956.6,0.9020408163265307,0.09418774827514112,0.366924524357098,0.21283713150742212,0.3260505958603387,350.99999999999994,203.6,311.9,90.1,956.6,0.7877551020408163,77.12000836295212,209.90257160777753
Davis Bertans,2020-21,2093.1,0.37551020408163266,0.0949309636424442,0.38755912283216276,0.3623333811093592,0.1551765324160336,811.2,758.3999999999999,324.8,198.7,2093.1000000000004,0.5326530612244897,78.15011227366107,215.359132387368
De'Aaron Fox,2020-21,2817.7,0.8938775510204081,0.08215920786457041,0.329027220782908,0.16882563793164637,0.41998793342087515,927.0999999999999,475.7,1183.3999999999999,231.50000000000003,2817.7,0.44693877551020406,76.58608084608014,206.75763920928418
De'Andre Hunter,2020-21,932.6,0.936734693877551,0.11945099721209523,0.2991636285653013,0.3139609693330474,0.2674244048895561,279.0,292.79999999999995,249.4,111.4,932.5999999999999,0.9612244897959183,77.68614625777397,213.27782543426977
De'Anthony Melton,2020-21,1439.9,0.5591836734693878,0.11424404472532816,0.4640600041669562,0.1798041530661852,0.24189179804153066,668.2000000000002,258.90000000000003,348.29999999999995,164.5,1439.8999999999999,0.5897959183673469,77.31002152927287,208.29015903882217
DeAndre Jordan,2020-21,1671.7,0.8877551020408163,0.5570377460070588,0.09720643656158401,0.2566249925225818,0.0891308249087755,162.5,429.0,149.0,931.2000000000002,1671.7,0.03469387755102041,80.98695938266435,239.34868696536464
